Lon,Lat,ID,Source,Calcite,U238,U238sig,Age,U234delta,Basin,Genus,Place,Location,Site,LabID,Temp,Salinity,pH,TAlk,TCO2,OmegaA,oxygen
151.94906,-23.447938,2902,98,NA,3.2121,0.0031,0.00371549823681196,144.622342253111,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2903,98,NA,3.2905,0.0034,0.00721351016222723,148.917558404314,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2904,98,NA,3.5072,0.0037,0.018613903487081,148.323196991829,Pacific,Acropora,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2905,98,NA,3.3439,0.0037,0.00695111130977423,145.222795653431,Pacific,Acropora,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2906,98,NA,4.0445,0.0044,0.0102929620497797,144.225601101287,Pacific,Acropora,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2907,98,NA,0.1197,0.0001,0.0378205501489862,147.732051639477,Pacific,Heliopora,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2908,98,NA,3.2577,0.0028,0.00648913968341889,142.726222770902,Pacific,Acropora,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2909,98,NA,3.6513,0.0035,0.00466698825495407,144.922295074088,Pacific,Acropora,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2910,98,NA,3.4593,0.0033,0.00514187696397237,145.222054181438,Pacific,Acropora,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2911,98,NA,0.301,0.0001,0.0378077590234826,145.235442105068,Pacific,Heliopora,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2912,98,NA,3.5951,0.0052,0.0121853436481484,145.524511643379,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2913,98,NA,3.9634,0.0041,0.00609622820282921,144.823024373542,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2914,98,NA,3.9002,0.0039,0.00836343098036959,147.42020360926,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
151.94906,-23.447938,2915,98,NA,3.5042,0.0038,0.00418746922383022,145.820791202818,Pacific,NA,"Great Barrier Reef,Heron Reef",Great Barrier Reef,Heron Reef,25,24.393736997307577,35.462406889694655,8.099539869777118,2301.8715055012085,1966.979185699216,3.698729053881197,219.15169986828428
146.433675,-18.812597,2916,99,NA,3.1264,0.0024,0.0308619357988266,145.319638306844,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
146.433675,-18.812597,2917,99,NA,3.0211,0.0013,0.0237541484325533,145.020108308654,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
146.433675,-18.812597,2918,99,NA,3.1885,0.0015,0.0400076825551127,145.519320913444,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
146.433675,-18.812597,2919,99,NA,3.0345,0.0011,0.0291286266828955,145.319674192381,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
146.433675,-18.812597,2920,99,NA,3.1385,0.002,0.0176207705434479,143.722069308319,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
146.433675,-18.812597,2921,99,NA,3.0306,0.0019,0.0251910478678067,144.221288768119,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
146.433675,-18.812597,2922,99,NA,3.214,0.0018,0.0398596937446844,145.11988773765,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
146.433675,-18.812597,2923,99,NA,3.1802,0.0013,0.0222438173659312,143.82191039054,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
146.433675,-18.812597,2924,99,NA,3.1275,0.0015,0.0379378102513293,143.322566058061,Pacific,Acropora,"Great Barrier Reef,Pandora Reef",Great Barrier Reef,Pandora Reef,25,26.6399962694983,35.12669658682954,8.10949207096954,2264.5903349995256,1927.5705388656354,3.759198577638995,207.4658631193654
