"","X","Lon","Lat","ID","Source","Temperature","Salinity","pH","Calcite","U238","U238sig","Age","U234delta","Basin","Genus","Place","Location","Site","LabID","OmegaA","TAlk","TCO2","PI_TCO2","oxygen"
"994",994,150.927572,-23.159214,2743,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.2162,"0.0011",4.77141456416818,145.265653587968,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"995",995,150.927572,-23.159214,2744,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.2828,"0.0016",5.17772243942199,144.621728224106,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"996",996,150.927572,-23.159214,2745,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.9348,"0.0012",5.00657148156541,144.653167387831,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"997",997,150.927572,-23.159214,2746,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.7258,"0.0012",5.06116232699563,145.181903902271,"Pacific","Favia","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"998",998,150.927572,-23.159214,2747,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.2569,"0.0014",4.68136861392404,147.758280110299,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"999",999,150.927572,-23.159214,2748,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.7301,"0.0015",5.94835908327029,145.545854524026,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1000",1000,150.927572,-23.159214,2749,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,2.6366,"0.0018",5.57651274145855,145.494640151466,"Pacific","Cyphastrea","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1001",1001,150.927572,-23.159214,2750,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.3272,"0.0024",6.01682580997093,144.355217360636,"Pacific","Pavona","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1002",1002,150.927572,-23.159214,2751,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.3226,"0.0024",5.89857856715749,145.626938754962,"Pacific","Acropora","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
"1003",1003,150.927572,-23.159214,2752,94,26.6923333333333,35.1003333333333,8.11253547668457,NA,3.4795,"0.0013",5.21608697690808,142.610702040527,"Pacific","Porites","Great Barrier Reef,Keppel Islands","Great Barrier Reef","Keppel Islands","25",3.70334402720134,2301.96248372396,1966.76485188802,1909.0146484375,219.332890828451
